"label_wn_quote","is_delivery_at_holiday","is_created_at_holiday","duration","gender","area_cleaning","day_of_week_delivery","day_of_week_created","total_cost","all_offers","corporate_offers","individual_offers","offers_busy","district","past_day_all_orders","past_day_wq_1h","past_day_wq_2h","past_day_wq_3h","cost_to_area","cost_times_area","duration_to_area","duration_times_area","indiv_offers_to_all_offers","corp_offers_to_all_offers","busy_offers_to_all_offers"
1,1,0,1,"2",3,"0","5",100000,142,4,138,54,"2",46,23,28,29,33333.3333333333,300000,0.333333333333333,3,0.971830985915493,0.028169014084507,0.380281690140845
1,1,0,3,"2",5,"4","4",158000,80,7,73,0,"2",16,2,5,6,31600,790000,0.6,15,0.9125,0.0875,0
0,0,1,5,"2",1,"4","3",209000,1,1,0,0,"6",26,14,17,19,209000,209000,5,5,0,1,0
1,0,0,1,"2",2,"4","3",160000,90,8,82,2,"8",40,35,36,37,80000,320000,0.5,2,0.911111111111111,0.0888888888888889,0.0222222222222222
1,0,0,3,"2",2,"3","2",145000,70,7,63,0,"8",50,43,46,48,72500,290000,1.5,6,0.9,0.1,0
1,1,0,4,"2",5,"5","2",130000,143,4,139,0,"17",68,26,38,47,26000,650000,0.8,20,0.972027972027972,0.027972027972028,0
1,0,0,1,"1",7,"4","3",110000,154,5,149,0,"1",45,20,28,31,15714.2857142857,770000,0.142857142857143,7,0.967532467532468,0.0324675324675325,0
1,0,0,5,"1",3,"4","2",240000,75,8,67,0,"7",46,45,46,46,80000,720000,1.66666666666667,15,0.893333333333333,0.106666666666667,0
1,1,0,5,"2",4,"0","4",194000,1,0,1,0,"1",13,2,4,5,48500,776000,1.25,20,1,0,0
1,0,0,1,"0",-1,"3","2",90000,98,4,94,0,"1",91,36,59,71,NA,NA,NA,NA,0.959183673469388,0.0408163265306122,0
1,0,0,5,"2",4,"4","5",270000,80,7,73,0,"5",73,58,61,62,67500,1080000,1.25,20,0.9125,0.0875,0
0,0,1,3,"1",4,"6","5",162000,82,7,75,0,"3",25,20,24,24,40500,648000,0.75,12,0.914634146341463,0.0853658536585366,0
0,0,0,1,"1",3,"1","0",100000,136,6,130,0,"14",45,23,34,35,33333.3333333333,300000,0.333333333333333,3,0.955882352941177,0.0441176470588235,0
1,1,1,1,"2",1,"5","4",145000,95,10,85,1,"6",47,24,39,41,145000,145000,1,1,0.894736842105263,0.105263157894737,0.0105263157894737
1,0,0,1,"2",2,"3","2",138000,165,14,151,0,"2",53,35,40,44,69000,276000,0.5,2,0.915151515151515,0.0848484848484849,0
